"","ID","jab","ext","int","red","jab_ex","jab_in","jab_re","province"
"10510",10510,0.434158844,0,0,0,0,0,0,"Valencia"
"18869",18869,0.372136152,0,1.192426313,0,0,0.44374494,0,"Huesca"
"18549",18549,0.496181536,0,0,0,0,0,0,"Palencia"
"636",636,0.341124806,0,0,0,0,0,0,"Almeria"
"997",997,2.760009792,0,0,0.554038901,0,0,1.529152791,"Granada"
"19818",19818,0.093034038,0,0,0,0,0,0,"Navarre"
"23910",23910,0.093034038,0,0,1.662116702,0,0,0.154633428,"ACorunia"
"3071",3071,0.651238266,0,1.192426313,0,0,0.776553644,0,"Murcia"
"9519",9519,0,0,0,0,0,0,0,"Valencia"
"443",443,0,0,0,0,0,0,0,"Malaga"
"21733",21733,0.341124806,0,0,0,0,0,0,"Palencia"
"1322",1322,0.868317688,0,0.397475438,0,0,0.345134953,0,"Almeria"
"18562",18562,0.093034038,0,0,0,0,0,0,"Palencia"
"8796",8796,1.054385763,0.609189807,0,0,0.64232106,0,0,"Caceres"
"5318",5318,2.666975754,0.609189807,0,0,1.624694446,0,0,"Cordoba"
"23161",23161,0.093034038,0,0,0.554038901,0,0,0.051544476,"ACorunia"
"4662",4662,0.62022692,0,0,0,0,0,0,"Albacete"
"19415",19415,3.721361518,0,0.794950876,0.554038901,0,2.958299597,2.061779044,"Girona"
"25472",25472,0.806294996,0,0,0.554038901,0,0,0.446718793,"Asturias"
"20785",20785,0.62022692,0,0,0,0,0,0,"La_Rioja"
"18717",18717,1.767646721,0,0,0.554038901,0,0,0.979345046,"Ourense"
"13746",13746,0.15505673,0,0,0,0,0,0,"Segovia"
"3814",3814,1.922703451,0,0,0.554038901,0,0,1.065252506,"Cordoba"
"14172",14172,0.372136152,1.827569422,0,0,0.680104652,0,0,"Salamanca"
"1088",1088,0.279102114,0,0,0,0,0,0,"Granada"
"2085",2085,0,0,0,0,0,0,0,"Cordoba"
"18970",18970,0.961351725,0,0,0,0,0,0,"Ourense"
"6290",6290,2.263828257,0,0,0,0,0,0,"Alicante"
"4353",4353,1.457533261,0,0,0,0,0,0,"Cordoba"
"23654",23654,0.403147498,0,0,0,0,0,0,"Cantabria"
"20965",20965,0.217079422,0,0,0.554038901,0,0,0.120270444,"Leon"
"18955",18955,1.240453839,0,0,0,0,0,0,"Ourense"
"8145",8145,0.031011346,0,0,0,0,0,0,"Ciudad_Real"
"26065",26065,0.434158844,0,0,0,0,0,0,"Lugo"
"16265",16265,0.868317688,0,0,0,0,0,0,"Soria"
"9630",9630,0.434158844,0,0,0,0,0,0,"Cuenca"
"16283",16283,0.558204228,0,0,0,0,0,0,"Soria"
"3375",3375,2.015737489,4.873518457,0.397475438,3.878272305,9.823733857,0.801206141,7.817578877,"Huelva"
"1899",1899,0.77528365,0,1.589901751,0,0,1.232624832,0,"Almeria"
"20109",20109,1.922703451,0,0.397475438,0,0,0.764227396,0,"Huesca"
"14576",14576,1.302476531,0,0,0,0,0,0,"Guadalajara"
"24685",24685,0.127990835,0,0,0,0,0,0,"Leon"
"15098",15098,0.15505673,0,0,0,0,0,0,"Zaragoza"
"14195",14195,0.093034038,0,0,0,0,0,0,"Salamanca"
"5524",5524,0.806294996,0,1.589901751,0,0,1.281929825,0,"Murcia"
"23740",23740,0.15505673,0,0,0.554038901,0,0,0.08590746,"ACorunia"
"21822",21822,2.449896333,0,0,0,0,0,0,"Huesca"
"4114",4114,0.15505673,0,0,0,0,0,0,"Jaen"
"7319",7319,1.147419801,0,0,0,0,0,0,"Albacete"
"16044",16044,0.372136152,0,0,0,0,0,0,"Valladolid"
"26177",26177,0.279102114,0,0.397475438,0,0,0.110936235,0,"ACorunia"
"9036",9036,0.31011346,0,0,0,0,0,0,"Cuenca"
"14643",14643,1.674612683,0,0,0,0,0,0,"Tarragona"
"13639",13639,1.147419801,0,0.397475438,0,0,0.456071188,0,"Guadalajara"
"19854",19854,1.178431147,0,0,0,0,0,0,"Huesca"
"23029",23029,0.62022692,0,0,0.554038901,0,0,0.343629841,"Leon"
"1480",1480,0.093034038,0,0,0,0,0,0,"Sevilla"
"8600",8600,0,0,0,0,0,0,0,"Cuenca"
"18371",18371,0.031011346,0,0,0.554038901,0,0,0.017181492,"Soria"
"22700",22700,1.922703451,0,0,0,0,0,0,"Huesca"
"18423",18423,1.519555953,0,0,0.554038901,0,0,0.84189311,"Huesca"
"13753",13753,0.124045384,0,0,0,0,0,0,"Madrid"
"6137",6137,1.581578645,0,0,0,0,0,0,"Alicante"
"19981",19981,1.550567299,0,0.794950876,0.554038901,0,1.232624832,0.859074602,"Leon"
"18641",18641,0.837306342,0,0.397475438,0,0,0.332808705,0,"Huesca"
"8523",8523,0.899329033,0,0,0,0,0,0,"Caceres"
"2162",2162,0.217079422,0,0,0,0,0,0,"Huelva"
"14018",14018,0.279102114,1.218379614,0,0,0.340052326,0,0,"Salamanca"
"14158",14158,0.930340379,0,0,0,0,0,0,"Tarragona"
"17515",17515,0.15505673,0,0,0,0,0,0,"Valladolid"
"18055",18055,4.000463632,0,0,1.108077801,0,0,4.432824945,"Girona"
"1122",1122,0.496181536,0,0,0,0,0,0,"Almeria"
"8508",8508,1.581578645,0.609189807,0,0,0.96348159,0,0,"Caceres"
"3395",3395,1.705624029,2.436759229,0,0,4.156195093,0,0,"Sevilla"
"2170",2170,1.209442493,0,0,0,0,0,0,"Huelva"
"4371",4371,0.62022692,0,0,0,0,0,0,"Jaen"
"1136",1136,0,0,0,0,0,0,0,"Sevilla"
"11303",11303,1.984726143,0,0,0,0,0,0,"Toledo"
"10267",10267,0.651238266,1.827569422,0.397475438,0,1.19018314,0.258851215,0,"Caceres"
"4754",4754,0.31011346,9.137847108,0,0,2.833769382,0,0,"Cordoba"
"24633",24633,1.426521915,0,0,3.324233404,0,0,4.742091802,"Lugo"
"23082",23082,0.186068076,0,0,0,0,0,0,"Alava"
"1846",1846,0.093034038,0,0,0,0,0,0,"Cordoba"
"21867",21867,0.540255365,0,0,0,0,0,0,"Lleida"
"4573",4573,0.031011346,7.919467493,0,0.554038901,0.245593346,0,0.017181492,"Badajoz"
"21548",21548,0.062022692,0,0,0,0,0,0,"Navarre"
"26028",26028,1.116408455,0,0,0,0,0,0,"Asturias"
"13033",13033,1.519555953,0,0,0,0,0,0,"Teruel"
"16407",16407,0,0,0,0,0,0,0,"Valladolid"
"5254",5254,0.186068076,0,0,0,0,0,0,"Alicante"
"17886",17886,0.062022692,0,0.397475438,0,0,0.024652497,0,"Zamora"
"2408",2408,0.899329033,3.045949036,0.397475438,0,2.739310403,0.357461201,0,"Huelva"
"1677",1677,0,0,0,0,0,0,0,"Huelva"
"1254",1254,2.387873641,0.609189807,0,0,1.454668283,0,0,"Sevilla"
